,Correct,OptionA,OptionB,OptionC,OptionD,OptionE,Questions,solution,Category
373, – C)Katrina,Pampas,Prairies,Katrina,Pork,None of these,………………….. is the name of Hurricane," :Hurricane Katrina was the eleventh named storm and fifth hurricane of the 2005 Atlantic hurricane season. It was the costliest natural disaster, as well as one of the five deadliest hurricanes, in the history of the United States.",12.1
374, – A)North Polar,North Polar,South Polar,West Polar,East Polar,None of these,The …………………… Tundra is Cold Desert," :The North Polar Tundra is Cold Desert. Arctic tundra is located in the northern hemisphere, encircling the north pole and extending south .The arctic is known for its cold, desert-like conditions.",12.1
375, – C)Russia,India,Britain,Russia,America,None of these,Which country ratified the Kyoto Protocol in late 2004 and thus caused it to become international law ?, :Russia ratified the Kyoto Protocol in late 2004 and thus caused it to become international law,12.1
376, – B)Grasslands,Tropical Forests,Grasslands,Coniferous Forests,Savanna,None of these,In What type of bioregion is desertification most likely to occur ?, :Desertification is the accumulated result of ill-adapted land use and the effects of a harsh climate. Grasslands type of bioregion is desertification most likely to occur,12.1
377, – D)Wind,Volcanoes,Cyclone,Strom,Wind,None of these,Chinook refer to ………………….," :In winter, temperatures can increase suddenly with the onset of a Chinook wind.",12.1
378, – A)March 21,March 21,February 20,April 17,May 8,None of these,Which date is called as Vernal Equinox ?, :There are two equinoxes every year in September and March when the sun shines directly on the equator and the length of day and night is nearly equal.,12.1
379, – B)Cold Winds,Hot Winds,Cold Winds,Local Winds,Trade Winds,None of these,The air is drawn in from the polar region in front of the depression is called ………………., :The air is drawn in from the polar region in front of the depression is called Cold Winds. A cold wind that blows from the north or northeast across the lands around the Adriatic Sea.,12.1
380, – C)Kerala,Maharashtra,Andhra Pradesh,Kerala,Karnataka,None of these,Which state of India has dry weather for only three to four months ?, :State of Kerala has dry weather for only three to four months,12.1
381, – D)Sea,River,Lake,Land,Sea,None of these,Hurricanes are generally active over the ………………, :Hurricanes are generally active over the Sea. A hurricane is a huge storm! It can be up to 600 miles across and have strong winds spiraling inward and upward at speeds of 75 to 200 mph,12.1
382, – C)Convection,Explosion,Convention,Convection,Convergence,None of these,Due to ……………………. Land breeze and Sea breeze are formed, :The sea and land breezes are formed due to convection currents of air,12.1
383, – B)40o – 60o South,20o – 60o West,40o – 60o South,30o – 50o East,40o – 70o North,None of these,Roaring Forties are winds that blow in the southern hemisphere in between …………………., :Roaring Forties are winds that blow in the southern hemisphere in between 40o – 60o South,12.1
384, – A)Earth’s rotation,Earth’s rotation,Earht’s revolution,Climate Change,Sun’s Rotation,None of these,Winds are deflected to their right in the southern hemisphere due to, :Winds are deflected to their right in the southern hemisphere due to Earth’s rotation,12.1
385, – C)Westerly winds,Blizzard winds,Mistral winds,Westerly winds,Norwester winds,None of these,Which wind is also known as ‘Anti-Trades’ ?," :Antitrades the prevailing westerly winds of middle latitudes,the westerly winds above the trade winds",12.1
386, – A)Hot Winds,Hot Winds,Cold Winds,Local Winds,Trade Winds,None of these,The air is drawn in from the tropical region in front of the depression is called ……………….," :The air is drawn in from the tropical region in front of the depression is called hot winds.A hot, dry wind southerly wind which blows from the Sahara in northern Africa into the southern Mediterranean.",12.1
387, – D)September 23,November 5,August 16,October 27,September 23,None of these,……………….. is called autumnal equinox, :There are two equinoxes every year in September and March when the sun shines directly on the equator and the length of day and night is nearly equal.,12.1
388, – B)Malaysia and Indonesia,Indonesia and Nepal,Malaysia and Indonesia,Malaysia and Singapore,Nepal and Bangladesh,None of these,Malacca straits is placed between ……………… and …………………….., :stretch of water between the Malay Peninsula (Peninsular MalaysiA) and the Indonesian  island of Sumatra– 805km,12.1
389, – C)France,Russia,America,France,China,None of these,Dover Straitseparate the Great Britain from ………………………," :strait at the narrowest part of the English Channel, marking the boundary between the Channel and North Sea, separating Great Britain from continental Europe.",12.1
390, – A) Atlantic Ocean,Atlantic Ocean,Antarcticocean,Bay of Bengal,Pacific Ocean,None of these,Strait of MagellanConnects………………  and Pacific Ocean, :The strait is the most important natural passage between the Atlantic and Pacific oceans,12.1
391, – D)USA,Spain,UAE,UK,USA,None of these, Berring Straitplaced between Russia and …………….., :A strait connecting the Pacific and Arctic oceans between Russia and the US state of Alaska.,12.1
392, – B) India and Sri Lanka,Indonesia and China,India and Sri Lanka,Sri Lanka and Indonesia,India and China,None of these,Palk Straitis placed between which countries, :Strait between the Tamil Nadu state of India and the Mannar district of the Northern Province of the island nation of Sri Lanka. It connects the Bay of Bengal in the northeast with the Palk Bay and thence with the Gulf of Mannar in the southwest,12.1
393, – A) Davis Strait,Davis Strait,Barents Strait,Dover Strait,Florida Strait,None of these,………………………. is placed between Greenland and Canada," :Straits is a northern arm of the Labrador Sea. It lies between mid-western  Greenland  and Nunavut, Canada’s Baffin Island",12.1
394, – B) Bosphorus Strait,Berring Strait,Bosphorus Strait,Duncan Passage,Strait of Gibralter,None of these,"…………………. is the  continental boundary between Europe and Asia, and separates Asian Turkey from European Turkey"," :Bosphorus Strait is the  continental boundary between Europe and Asia, and separates Asian Turkey from European Turkey",12.1
395, – A)Cuba,Cuba,China,Canada,Chile,None of these,Florida Straitis placed between……………. and USA," :Florida Strait is placed between the Gulf of Mexico and the Atlantic Ocean, and between the Florida Keys (U.S.)",12.1
396, – A) Strait of Gibraltar,Strait of Gibraltar,Barents Strait,Strait of Malaca,Palk Strait,None of these,…………………………. separates Gibraltar and Peninsular Spain in Europe from Morocco and Ceuta in Africa., :The Strait of Gibraltar is a narrow strait that connects the Atlantic Ocean to the Mediterranean Sea and separates Gibraltar and Peninsular Spain in Europe from Morocco and Ceuta in Africa.,12.1
397, – A) South America,South America,Asia,North America,Africa,None of these,Drake Passage Separates………………….and Antarctica, :Drake Passage is the body of water between South America’s Cape Horn and the South Shetland Islands of Antarctica,12.1
398, –C)China,South Africa,Russia,China,Chile,None of these,Which of the following country is leading producer of Gold ?," :1-China, 2- Russia and 3-Australia China has continued to see increased gold output and remains comfortably the World No. 1 . But the No.2 position is now occupied by Russia, which appears to have leapfrogged over Australia to attain this ranking with 9% output growth last year. Former World No. 1 for many years, South Africa, is nowadays only in sixth place",12.1
399, –B)US,Russia,US,Morocco,Botswana,None of these,Leading producer of Petroleum is …………….," :The U.S. has taken Russia’s crown as the biggest oil and natural-gas producer in a demonstration of the seismic shifts in the world energy landscape emanating from America’s shale fields.U.S. oil production rose to a record last year, gaining 1 .6 million barrels a day, according to BP Plc’s Statistical Review of World Energy released",12.1
400, –D)South Africa,Zaire,China,Australia,South Africa,None of these,…………………. is the leading producer of Chromium," :South Africa – Platinum, Chromium, Vanadium, Antimony South Africa – 8500 Metric Tonnes Second – India and Third – Kazakhstan",12.1
401, –A)Botswana,Botswana,USA,Kenya,Thailand,None of these,Which of the following country is leading producer of Diamond ?," :Botswana is the biggest producer of diamonds in term of Value – 20% of global supply The top five producing countries by volume of production are Russia, Botswana, the Democratic Republic of Congo (DRC), Australia and Canada.",12.1
402, –B)China,Canada,China,Egypt,Brazil,None of these,………………………… is the leading producer of Tungsten," :China is the largest producer of tungsten, accounting for about 84 .5 percent of the world’s total output. In 2014, the country produced 68,000 MT of tungsten Second – Russia and third – Canada Tungsten, also known as wolfram is a metal with many uses. It is commonly used to produce electrical wires and heating and electrical contacts",12.1
403, –D)China,Kenya,Japan,Egypt,China,None of these,Leading producer of Tea is …………………….," :China is indisputably the largest producer of tea in the world, producing – 1,000,130 tonnes Second –India and Third – Kenya",12.1
404, – C)USA,UK,Australia,USA,India,None of these,Which of the following country is leading producer of Maize ?, :USA – 363 Million metric tons Second –China and Third – Brazil,12.1
405, –D)Indonesia,Philippines,India,Nigeria,Indonesia,None of these,……………………… is the leading producer of Coconut ?," :Indonesia – 19,500,000 Second- Philippines and Third – India",12.1
406, –B)Australia,Europe,Australia,USA,Egypt,None of these,Which of the following country is leading producer of Bauxite ?, :Australia – 65231 thousands metric tonnes Second – China and Third – Brazil,12.1
407, – A)Kazakhstan,Kazakhstan,Canada,China,Australia,None of these,Which of the following country leading producer of Uranium ?," :Kazakhstan has been the world’s leading producer of uranium since 2009, when it produced almost 28 percent of the global total. Second – Canada and Third – Australia",12.1
408, – C)King Khaled International Airport,King Abdul Aziz International Airport,Denver International Airport,King Fahd International Airport,Shanghai Pudong International Airport,None of these,Which of the following is the largest airport in the world ?," :World’s largest airport with respect to land area of 78000 ha King Fahd International Airport has been located in northwest of Dammam, Saudi Arabia. Operated by General Authority of Civil Aviation the airport has been publicly opened fifteen year ago and considered as major hub for Saudi Arabia.",12.1
409, – A)China,China,UK,Singapore,Spain,None of these,The World longest bridge was situated in which country ?, :The Danyang–Kunshan Grand Bridge is the world’s longest bridge. It is a 16D)8-kilometre (102 .4 mi) long viaduct on the Beijing–Shanghai High-Speed Railway.,12.1
410, – B)Burj Khalifa,One World Trade Center,Burj Khalifa,Shanghai Tower,Abraj Al-Bait Clock Tower,None of these,Which of the following is the tallest building in the world ?," :Burj Khalifa  is known as Burj Dubai before its inauguration, is a megatall skyscraper in Dubai, United Arab Emirates. It is the tallest artificial structure in the world, standing at 829.8 m (2,722 ft)",12.1
411, –D)Sagrada Familia,Ulm Cathedral,Cologne Cathedral,Rouen Cathedral,Sagrada Familia,None of these,……………….. is the tallest church in the world," :The Basílica i Temple Expiatori de la Sagrada Família(170m) is a large Roman Catholic church in Barcelona, designed by Spanish architect Antoni Gaudí (1852–1926). Although incomplete, the church is a UNESCO World Heritage Site.",12.1
412, – C)Pan-American Highway,Trans-Siberian Highway,"Highway 1, Australia",Pan-American Highway,Trans-Canada Highway,None of these,Which is the longest road in the world ?," :The Pan-American Highway is the world’s longest ‘motorable road,’ according to Guinness Book of World Records. The Highway links almost all nations in North and South America except for a stretch of 100 km called the Darien Gap, a forest and swampland",12.1
413, – A)Czech,Czech,China,Japan,Rome,None of these,"Strahov stadium is the largest stadium in the world, which is located in ……………………"," :The Great Strahov Stadium is a stadium in the Strahov district of Prague, Czech Republic. It was built for displays of synchronized gymnastics on a massive scale, with a field three times longer and three times wider than the standard Association football pitch. Worthy of note is Strahov Stadium in Prague is no longer used for competitive sports events (just large concerts!). It has a capacity of 220,000 (56,000 seateD).",12.1
414, – A)Indira Gandhi National Open University,Indira Gandhi National Open University,Anadolu University,Bangladesh Open University,Ramkhamhaeng University,None of these,Which of the following is the largest Open University in the world ?, :The Indira Gandhi National Open University (Ignou) has been recognised as the world’s single largest open university by the recently concluded summit of presidents and vice-chancellors at Shanghai in China.,12.1
415," – C)Grand Central Terminal, New York","Nagoya Station, Japan","Kharagpur Railway Platform, India","Grand Central Terminal, New York","Condor Station, Bolivia",None of these,………………………… is the largest railway station in the world," :Grand Central Terminal (GCT) is a station located on 42nd Street and Park Avenue in Midtown Manhattan, New York City. It is commonly known as Grand Central Station.” There are 44 platforms with 67 tracks. The tracks are on two levels, with 41 tracks in the upper and 26 tracks in the lower level.",12.1
416, – A)China,China,Tajikistan,Italy,India,None of these,Jinping-I dam is the highest dam in the world located in ……………………………," :The Jinping-I Dam also known as the Jinping-I Hydropower Station or Jinping 1st Cascade, is a tall arch dam on the “Jinping Bend” of the Yalong River (Yalong Jiang) in Liangshan, Sichuan, China. Construction on the project began in 2005 and was completed in 2014 ",12.1
417, – D)Tokyo Skytree,Milad Tower,Canton Tower,CN Tower,Tokyo Skytree,None of these,Which of the following is the tallest tower in the world ?," :The Tokyo Skytree, completed in February 2012, reaches a height of 634 m (2,080 ft), making it the tallest tower in the world.",12.1
418, – C)Greenland,Sumatra,Borneo,Greenland,New Guinea,None of these,…………………….. is the largest Island in the world," :Greenland is located between the Arctic Ocean and the North Atlantic Ocean, northeast of Canada and northwest of Iceland. The territory comprises the island of Greenland – the largest island in the world – and more than a hundred other smaller islands",12.1
419, – A)Asia,Asia,Africa,Antarctica,Europe,None of these,Which of the following is the largest continent in the world ?," :Asia is the largest continent in the world out of 7 continents, situated in the eastern and northern hemispheres",12.1
420, – D)Pacific,Indian Ocean,Atlantic Ocean,Arctic Ocean,Pacific Ocean,None of these,………………………. is the largest ocean in the world, :The Pacific Ocean is the largest of the Earth’s oceanic divisions. It extends from the Arctic Ocean in the north to the Southern Ocean,12.1
421, – D)Death Valley,The Gobi,The Sahara,Aziza,Death Valley,None of these,Which is the hottest place in the world ?, :The World Meteorological Organization has officially recognized Death Valley as the world’s hottest place on earth at 136 degrees. Temperatures of 159.3 degrees have been recorded in this Iranian desert.,12.1
422, – B)Everest,Kangchenjunga,Everest,K2,Annapurna,None of these,………………………….is the highest mountain peak in the world," :The highest mountain in the world is Mount Everest which is located in Tibet – Nepal border. Its peak rises to 8,848 m (29,028 ft 9 in) the highest point in the world.",12.1
423, – A)Amazon,Amazon,Nile,Yenisei,Yangtze,None of these,Which of the following is the largest river in the world ?," :The Amazon is considered the world’s largest river by volume. The Amazon River in South America is the largest river by discharge of water in the world, and the second in length.",12.1
424, – D)Humming bird,Weebill,Lesser goldfinch,Verdin,Humming bird,None of these,………………………. is the smallest bird in the world," :The smallest bird is the bee hummingbird (Mellisuga helenaE) of Cuba and the Isle of Youth. Males measure 57 mm (2 .24 in) in total length, half of which is taken up by the bill and tail, and weigh 1 .6 g (0.056 oz) Females are slightly larger.",12.1
425, – C)Bay of Bengal,Bay of Biscay,Hudson Bay,Bay of Bengal,Ha Long Bay,None of these,The largest bay in the world is ……………………….," :The Bay of Bengal, the largest bay in the world, forms the northeastern part of the Indian Ocean. Roughly triangular in shape, it is bordered mostly by India and Sri Lanka to the west, Bangladesh to the north, and Myanmar (BurmA) and the Andaman and Nicobar Islands to the east.",12.1
426, – A)Ostrich,Ostrich,Mute Swan,Andean Condor,Emu,None of these,Which is the largest bird in the world ?," :The Ostrich is the largest living species of bird in the world, typically weighing 140 – 290 lbs (63 .5-131 .5 kg) and measuring 6 – 9 ft (1 .8-B)7 meters) in height.It lays the largest eggs of any living bird",12.1
427, – C)Nile,Amazon,Yangtze,Nile,Yenisei,None of these,…………………………. is the longest river in the world," :Nile measures 6,695 kilometres from its source in Burundi, along the WhiteNile, to its delta on the Mediterranean Sea. Officially, the shortesr river is the D River, Oregan, USA, which is just 37 metres long. The biggest river in the world, measured by the amount of water that flows down it, is the Amazon",12.1
428, – C)Etosha Reserve, San Diego Zoo, Moscow Zoo, Etosha Reserve, Columbus Zoo, None of  these,Which is the largest Zoo in the World ?, :The Etosha Reserve in South-West Africa is the world largest Zoo,12.1
429, – B)Salto Angel, Browne Falls, Salto Angel, Tugela Falls, Yosemite Falls, None of these,………………….. is the highest waterfall in the world, :Angel Falls (Salto Ángel) in Venezuela is the highest waterfall in the world. The falls are 3230 feet in height with an uninterrupted drop of 2647 feet. Angel Falls is located on a tributary of the Rio Caroni.,12.1
430, – A)Angkor Vat, Angkor Vat," Sri Ranganathaswamy Temple,", Akshardham," Thillai Nataraja Temple,", None of these,Which is the largest temple in the world ?," :Most of the largest Hindu Temples reside in Tamil Nadu. Angkor Wat is a temple complex at Angkor, Cambodia, built for the king Suryavarman II in the early 12th century as his state temple and capital city.",12.1
431, – D)Jupiter, Earth, Mecury, Venus, Jupiter, None of  these,The Biggest planet in the universe is ………………………," :Jupiter is the largest planet in the solar system. Fittingly, it was named after the king of the gods in Roman mythology.",12.1
432, – B)United States Library of Congress, Moscow’s Institute for Scientific Information Russian Academy of Sciences, United States Library of Congress, Beijing’s National Library of China, New York Public Library, None of  these,Which of the following is the Biggest library in the world ?," :Built in 1800 in Washington, D.C., it’s the largest library in the world in both shelf space and number of books. The Library of Congress is the official research library of the United States Congress. It’s also considered to be the national library of the U.S.",12.1
433, – B) Watermeal, Playstele jungermannoides, Watermeal, Rafflesia arnoldii, Black Bat, None of  these,The smallest flowering plant in the world is ………………..," :The world’s smallest flowering plant is the watermeal, or Wolffia globosa. Found all over the planet, this bright green oval plant is about the size of a grain of rice! Wolffia is the smallest genus of the aquatic plants known asduckweeds, which are part of the family Lemnaceae.",12.1
434, – C)Whale Shark, Stone Fish, Bristle Mouth, Whale Shark, Plabeuk, None of  these,Which is the largest living cartilaginous fish in the world ?," :The largest living cartilaginous fish, of the order Orectolobiformes, is the whale shark (Rhincodon typus), of the world’s tropical oceans. It is also the largest living animal that is not a cetacean and, like the largest whales, it is a docile creature that filter-feeds on tiny plankton.",12.1
435, – C)Russia, Japan, China, Russia, USA, None of  these,"The largest country in terms of Area is ,…………………………………"," :Russia is the largest country in the world and growing, again Encyclopaedia Britannica (EB) 17,075,400 km and  Vatican city is theSmallest country in the world.",12.1
436, – A)Tibetan Plateau, Tibetan Plateau, Patagonian Plateau, Deccan Plateau, Mongolian Plateau, None of these,……………………….. is the highest plateau in the world," :The largest and highest plateau in the world is the Tibetan Plateau, sometimes metaphorically described as the “roof of the world”, which is still being formed by the collisions of the Indo-Australian and Eurasian tectonic plates",12.1
437, – B)Hindunism, Christianity, Hindunism, Islam, Buddhism, None of  these,Which of the following is the oldest religion in the world ?," :This principle of order is also paramount in the world’s oldest religion still being practiced today Hinduism (known to adherents asSanatan Dharma, Eternal Order). Although often viewed as a polytheistic faith, Hinduismis actually henotheistic",12.1
438, – B)China,Japan,China,German,UK,None of these,The Longest Steel Arch bridge in the world is located in which country ?, :Chaotianmen Bridge – built in 2009,12.1
439," – A)Schipol International Airport, Amsterdam","Schipol International Airport, Amsterdam","Lhasa Airport, China",Singapore Changi Airport,Incheon International Airport,None of these,…………………………. is the lowest airport in the world," :Amsterdam Airport Schiphol is the main international airport of the Netherlands, located 4 .9 nautical miles (9.1 km;  5 .6 mi) southwest of Amsterdam, in the municipality of Haarlemmermeer, province of North Holland. It is the fifth busiest airport in Europe in terms of passengers",12.1
440, – C)University of Karueein,Indira Gandhi National Open University,University of Bologna,University of Karueein,University of Oxford,None of these,Which is the Oldest university in the world ?," :The oldest existing, and continually operating educational institution in the world is the University of Karueein, founded in 859 AD in Fez, Morocco. The University of Bologna, Italy, was founded in 1088 and is the oldest one in Europe",12.1
441, – D)Gulf of Mexico,Gulf of Bahrain,Gulf of Guinea,Gulf of Finland,Gulf of Mexico,None of these,The Largest Gulf in the world is ………………………," :The Gulf of Mexico (Spanish: Golfo de México) is an ocean basin largely surrounded by the North American continent. as well as Central America. It is bounded on the northeast, north, and northwest by the Gulf Coast of the United States, on the southwest and south by Mexico, and on the southeast by Cuba.",12.1
442, – A)Sundaban’s Ganga Brahmaputra Delta,Sundaban’s Ganga Brahmaputra Delta,Huang He Delta,Lena Delta,Mekon Delta,None of these,…………………………  is the largest Delta in the world," :Ganges Delta. The Ganges Delta (also known as the Ganges–Brahmaputra Delta, the Sunderbans Delta, or the Bengal DeltA) is a river delta in the South Asia region of Bengal, consisting of Bangladesh and the state of West Bengal, India. It is the world’s largest delta, and empties into the Bay of Bengal.",12.1
443, – C)Mauna Loa,Santa Maria,Jabal Kura’a Ignimbrite,Mauna Loa,Guarapuava,None of these,Which is the longest volcano in the world ?," :The largest volcano on earth is Mauna Loa on Hawai’i Big Island. It is a massive shieldvolcano constructed by countless lava flows. When measured from the base to the top, the pile of lavas measures more than 17,000 m (56,000 ft)",12.1
444, – C)Microlattice,Lead,Platinum,Microlattice,Lithium,None of these,Which of the following is the lightest metal ?," :The new metal, called Microlattice, is 100 times lighter than styrofoam and 99.9 percent air. Yes air. It’s made of interconnected hollow metal tubes made of nickel about 100 nanometers thick, that’s 1,000 times thinner than a human hair",12.1
445, – B)Dry Valley,"McMurdo Dry Valleys, Antarctica",Dry Valley,"Arica, Chile","Kufra, Libya",None of these,The Driest place in the Earth is ………………….," :Antarctica- the word itself has become synonymous with ice, glaciers and anything but dryness. Much to your surprise, Antarctica’s Dry Valleys are considered to be the driest place on the planet.",12.1
446, – B)Hydrogen,Ammonia,Hydrogen,Nitrogen,Helium,None of these,The lightest gas is ……………………," :Hydrogen, being the lightest existing gas (14 times less dense than air), seems to be the most appropriate gas for lifting. Helium is the second lightest gas",12.1
447, – A)Greenland,Greenland,USA,Chile,Ireland,None of these,The largest park in the world is located in ……………….., :Northeast Greenland National Park is the world’s largest and most northerly national park.,12.1
448, – A)Mahabharata,Mahabharata,The Iliad,Orlando furioso,Ramayana,None of these,The Longest Epic in the World is ……………………………," :The Mahabharata is the longest known epic poem and has been described as “the longest poem ever written”. Its longest version consists of over 100,000 shloka or over 200,000 individual verse lines",12.1
449, – B)The dome of the Pantheon,Mercedes-Benz Superdome,The dome of the Pantheon,Dome Of The Rock,St. Peter’s Basilica,None of these,…………………… is the largest Dome in the world.," :The dome of the Pantheon in Rome with oculus was the largest dome in the world for more than 1,300 years.",12.1
450, – C)Fountain Hills,Kind Fahd's Fountain,Fontana di Trevi,Fountain Hills,Archibald Fountain,None of these,Which of the following is the tallest fountain in the world ?," :Fountain Hills has the world’s fourth tallest fountain. The eponymous fountain was built in 1970, by Robert P. McCulloch, the year before the reconstruction of the London Bridge in Lake Havasu City, another of McCulloch’s projects",12.1
451, – D)Sirius,Rigel,Rigil Kentaurus,Canopus,Sirius,None of these,The brightest Star is ……………………," :Sirius – With a visual apparent magnitude of -1 .46, it is almost twice as bright as Canopus, the next brightest star. The name “Sirius” is derived from the Ancient Greek Se????? (Seirios), meaning “glowing” or “scorcher”.",12.1
452, – B)South Africa,North America,South Africa,China,Russia,None of these,The Largest Mine Kimberely found in which country ?," :The Big Hole, Open Mine, Kimberley Mine or Tim Kuilmine is an open-pit and underground mine in Kimberley, South Africa, and claimed to be the largest hole excavated by hand, although this claim is disputed.",12.1
453," – C)Hulunbuir, China","Tokyo, Japan","Wen Chuhan, China","Hulunbuir, China","canyons, Newyork",None of these,………………….. is the biggest city in the world interm of area," :The largest city in the world by area is Hulun Buir, encompassing 263,953 km.",12.1
454, – D)Blue Mammal,Southern Elephant Seal,Bumblebee Bat,African Bush Elephant,Blue Mammal,None of these,Which of the following is the largest Mammal in the world ?," :The blue whale (Balaenoptera musculus) is a marine mammal belonging to the suborder ofbaleen whales. At 30 metres (98 ft) in length and 180 metric tons (200 short tons) or more in weight, it is the largest known animal to have ever existed",12.1
455, – A)Kiwi ,Kiwi,Albatross,Spine-tailes swift,Ostrich,None of these,The wingless bird is …………………………..," :Kiwi or kiwis are flightless birds native to New Zealand, in the genus Apteryx and family Apterygidae.",12.1
456, – B)Chimpanzee,Camel,Chimpanzee,Tiger,Crocodile,Snake,………………………….. is the most intelligent in the world," :Chimpanzees – There are two species of Chimpanzees, both of which are the closest living relatives to humans. Chimpanzees make tools and use them to acquire foods and for social displays; they have sophisticated hunting strategies requiring cooperation, influence and rank.",12.1
457, – C)Port of Shanghai,Port of Ningbo,Port of Singapore,Port of Shanghai,Port of Taiwan,None of these,Which is the largest port in the world based on cargo throughput ?," :Port of Shanghai. The Port of Shanghai is the biggest port in the world based on cargo throughput. The Chinese  port handled 744 million tonnes of cargo in 2012, including 32 .5 million twenty-foot equivalent units (TEUs) of containers.",12.1
458, –A)Lahore,Lahore,Jaipur,Chicago,Rome,None of these,Which Place is Known as ‘Asia Paris’ ?," :Lahore – Pakistan Lahore is the capital city of the province of Punjab, the second largest metropolitan area in Pakistan and 16th most populous city in the world. It is an important historical centre in South Asia.",12.1
459, – B)Damodar river,Torsa River,Damodar river,Narmada River,Teesta River,None of these,Which river is called as ‘Bengal sarrow’ ?," :Damodar River is a river flowing across the Indian states of West Bengal and Jharkhand. Rich in mineral resources, the valley is home to large-scale mining and industrial activity.",12.1
460, – A)Big apple,Big apple,City of Golden Gate,Golden State,Golden city,None of these,New York surname is ………………….," :Big Apple is a nickname for New York City. It was first popularized in the 1920s by John J. Fitz Gerald, a sports writer for the New York Morning Telegraph.",12.1
461, – D)Rome,Chicago,Naples,Milan,Rome,None of these,Which of the following city nickname is City of Seven Hills ?," :Only one city has for more than 2000 years been known as the city on seven hills. That city isRome.Of the seven hills of current Rome, five (the Aventine, Caelian, Esquiline, Quirinal, and Viminal hills) are populated with monuments, buildings, and parks. The Capitoline Hill now hosts Rome’s city hall, and the Palatine Hillbelongs to the main archaeological area.",12.1
462, – B)Africa,Europe,Africa,Australia,Antarctica,None of these,Dark continent is …………………….," :Africa was called The Dark Continent because for a long time very little was known about its history and its inhabitants. In other words, it was adark and mysterious place for Europeans.",12.1
463, – A) Western Ghats,Western Ghats,Sagano Bamboo Forest,Crooked Forest,Amazon Rainforest,None of these,Which forest is known as Evergreen forest ?," :An evergreen forest is a forest consisting entirely or mainly of evergreen trees that retain green foliage all year round. The Western Ghats or Sahyadri is a mountain range that runs parallel to the western coast of the Indian peninsula, located entirely in India.",12.1
464, – C)Empire city,Golden city,Eternal city,Empire city,Forbidden city,None of these,New York city is also known as ………………., :Empire City is a nickname for New York City.It is  the largest city in the United States of America.,12.1
465, – A)Jerusalem,Jerusalem,New York,Rome,Somalia,None of these,Which city is known as Gateway of tears ?," :Jerusalem, a Middle Eastern city west of the Dead Sea, has been a place of pilgrimage and worship for Jews, Christians and Muslims since the biblical era. Its Old City retains significant religious sites concentrated around the Temple Mount compound, including the Western Wall, sacred to Judaism, and the Dome of the Rock, a 7th-century Islamic shrine with a gold dome.",12.1
466, – D)Somalia,Chicago,Jerusalam,Athens,Somalia,None of these,Horn of Africa is surname of …………………….., :The Horn of Africa  is a (SomaliA) peninsula in Northeast Africa. It juts hundreds of kilometers into the Arabian Sea and lies along the southern side of the Gulf of Aden. The area is the easternmost projection of the African continent.,12.1
467, – D)Chicago,Tonga,Kent,New York,Chicago,None of these,Which city nickname is Garden city of world ?," :Chicago had been primarily known as “the Garden City”, with its latin motto: Urbs in Horto, or “City in a Garden”. So the slogan seems to be meteorological in origin. Chicago is among the largest cities in the U.S.",12.1
468, – C)Beijing,Beijing,Tokyo,Beijing,Somalia,None of these,City of Cycles is nick name of ………………..," :According to statistics from the city’s traffic department, the capital deserved its nickname of “city of bicycles” in the 1980s when about 60 percent of the population commuted to work by bike.",12.1
469, – B)Zambia,Chicago,Zambia,California,Rome,None of these,Which of the country is called as Copper Country ?, :The Republic of Zambiais a landlocked country in Southern Africa Copper Country is surname of Zambia.It was top producer of Copper.,12.1
470, – D)Madurai,New York,Paris,Jerusalam,Madurai,None of these,Which city is known as City of festivals ?, :Madurai nickname is City of festivals.A large number of festivals are celebrated in the Madurai city of Tamil Nadu.,12.1
471, – A)Apenninine Mountians,Apenninine Mountians,Nilagiri hills,Lhotse Mountians,Shisha Pangma,None of these,…………………………. is Back bone of Italy," :Apennine Range, also called the Apennines, Italian Appennino, Apennine RangeEncyclopædia Britannica, Inc.series of mountain ranges bordered by narrow coastlands that form the physical backbone of peninsular Italy.",12.1
472, – D)Jerusalam,Natal,Aden,Somalia,Jerusalam,None of these,Holy city is nickname of …………………….," :Jerusalem is the capital city of Israel. Jerusalem is considered a holy city to Jews, Muslims, and Christians alike.",12.1
473, – A)Egypt,Egypt,Japan,UK,Thailand,None of these,Which country is known as ‘Gift of the Nile’ ?," :The Greek historian Herodotus wrote that “Egypt was the gift of the Nile”. An unending source of sustenance, it provided a crucial role in the development of Egyptian civilization. Silt deposits from the Nile made the surrounding land fertile because the river overflowed its banks annually.",12.1
474, – B)Garden of gods,Holy city,Garden of gods,Golden city,Garden city,None of these,The nickname of the city Colorado is …………………..," :Colorado nickname is Garden of Gods.Garden of the Gods is a public park located in Colorado Springs, Colorado, US. It was designated a National Natural Landmark in 1971",12.1
475, – C)Aberdeen,Mumbai,Jerusalem,Aberdeen,Malta,None of these,Grnaite city is surname of which of the following city ?," :Aberdeen  is Scotland’s third most populous city. Nicknames include the Granite City, the Grey City and the Silver City with the Golden Sands. During the mid-18th to mid-20th centuries, Aberdeen’s buildings incorporated locally quarried grey granite, which can sparkle like silver because of its high mica content",12.1
