sl.no.,correct,QuestionLink,direction,explanation,section_type,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,sl. No.
19,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (19).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (19).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
20,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (20).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (20).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
21,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (21).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (21).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
22,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (22).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (22).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
23,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (23).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (23).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
24,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (24).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (24).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
25,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (25).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (25).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
26,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (26).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (26).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
27,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (27).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (27).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
28,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (28).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (28).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
29,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (29).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (29).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
30,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (30).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (30).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
31,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (31).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (31).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
32,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (32).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (32).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
33,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (33).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (33).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
34,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (34).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (34).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
35,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (35).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (35).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
36,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (36).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (36).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
37,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (37).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (37).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
38,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (38).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (38).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
39,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (39).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (39).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
40,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (40).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (40).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
41,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (41).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (41).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
42,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (42).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (42).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
43,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (43).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (43).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
44,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (44).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (44).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
45,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (45).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (45).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
46,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (46).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (46).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
47,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (47).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (47).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
48,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (48).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (48).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
49,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (49).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (49).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
50,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (50).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (50).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
51,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (51).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (51).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
52,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (52).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (52).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
53,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (53).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (53).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
54,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (54).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (54).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
55,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (55).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (55).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
56,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (56).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (56).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
57,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (57).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (57).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
58,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/6 (58).png,,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  SOL/7 (58).png,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
1,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (01).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
2,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (02).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
3,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (03).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
4,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (04).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
5,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (05).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
6,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (06).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
7,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (07).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
8,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (08).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
9,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (09).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
10,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (10).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
11,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (11).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
12,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (12).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
13,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (13).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
14,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (14).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
15,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (15).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
16,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (16).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
17,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (17).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
18,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (18).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
19,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (19).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
20,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (20).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
21,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (21).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
22,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (22).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
23,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (23).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
24,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (24).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
25,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (25).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
26,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (26).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
27,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (27).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
28,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (28).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
29,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (29).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
30,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (30).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
31,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (31).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
32,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (32).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
33,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (33).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
34,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (34).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
35,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (35).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
36,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (36).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
37,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (37).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
38,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (38).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
39,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (39).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
41,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (40).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
42,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (41).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
43,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (42).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
44,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (43).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
45,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (44).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
47,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (45).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
48,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (46).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
49,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (47).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
50,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (48).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
51,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (49).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
52,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (50).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
53,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (51).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
54,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (52).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
55,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (53).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
56,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (54).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
58,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (55).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
59,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (56).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
60,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (57).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
61,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (58).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
62,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (59).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
63,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (60).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
64,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (61).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
65,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (62).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
66,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (63).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
67,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (64).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
68,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (65).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
69,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (66).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
70,3,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (67).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
71,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (68).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
72,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (69).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
73,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (70).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
74,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (71).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
75,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (72).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
76,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (73).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
77,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (74).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
78,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (75).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
79,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (76).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
80,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (77).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
81,4,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (78).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
82,1,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (79).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
83,2,https://s3.amazonaws.com/rrbbodhi/rrbgenAwer gk ch4 L-2  ques/7 (80).png,,,GK,4.1,,,A,B,C,D,,RRB,Bi,Kiran,Indian Polity & Constitution,
