sl.no.,correct,QuestionLink,direction,explanation,sectionType,category,topic_category,difficulty_level,optA,optB,optC,optD,optE,usedFor,lang,sources,chp_name,Unnamed: 18,Unnamed: 19
57,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (57).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (57).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
58,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (58).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (58).png,Maths_IIT,14.1,6,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
59,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (59).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (59).png,Maths_IIT,14.1,6,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
60,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (60).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (60).png,Maths_IIT,14.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
61,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (61).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (61).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
62,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (62).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (62).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
63,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (63).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (63).png,Maths_IIT,14.1,1,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
64,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (64).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (64).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
65,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (65).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (65).png,Maths_IIT,14.1,1,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
66,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (66).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (66).png,Maths_IIT,14.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
68,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (68).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (68).png,Maths_IIT,14.1,1,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
69,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (69).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (69).png,Maths_IIT,14.1,6,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
70,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (70).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (70).png,Maths_IIT,14.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
71,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (71).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (71).png,Maths_IIT,14.1,6,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
72,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (72).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (72).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
73,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (73).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (73).png,Maths_IIT,14.1,6,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
74,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (74).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (74).png,Maths_IIT,14.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
75,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (75).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (75).png,Maths_IIT,14.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
76,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (76).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (76).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
77,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (77).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (77).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
78,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (78).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (78).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
79,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (79).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (79).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
80,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (80).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (80).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
81,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (81).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (81).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
82,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (82).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (82).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
83,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (83).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (83).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
84,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (84).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (84).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
85,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (85).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (85).png,Maths_IIT,14.1,4,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
86,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (86).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (86).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
87,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (87).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (87).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
88,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (88).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (88).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
89,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (89).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (89).png,Maths_IIT,14.1,2,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
91,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (91).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (91).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
92,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (92).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (92).png,Maths_IIT,14.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
93,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (93).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (93).png,Maths_IIT,14.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
94,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (94).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (94).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
95,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (95).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (95).png,Maths_IIT,14.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
96,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (96).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (96).png,Maths_IIT,14.1,4,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
97,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (97).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (97).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
98,B,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (98).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (98).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
99,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/1 (99).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/1 (99).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
100,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (01).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (01).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
102,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (02).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (02).png,Maths_IIT,14.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
103,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (03).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (03).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
104,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (04).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (04).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
105,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (05).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (05).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
106,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (06).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (06).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
108,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (08).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (08).png,Maths_IIT,14.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
109,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (09).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (09).png,Maths_IIT,14.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
110,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (10).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (10).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
111,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (11).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (11).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
112,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (12).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (12).png,Maths_IIT,14.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
113,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (13).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (13).png,Maths_IIT,14.1,4,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
114,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (14).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (14).png,Maths_IIT,14.1,4,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
115,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (15).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (15).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
117,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (17).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (17).png,Maths_IIT,14.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
118,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (18).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (18).png,Maths_IIT,14.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
119,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (19).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (19).png,Maths_IIT,14.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
120,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (20).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (20).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
121,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (21).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (21).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
122,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (22).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (22).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
123,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (23).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (23).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
125,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (24).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (24).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
126,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (25).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (25).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
127,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (26).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (26).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
128,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (27).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (27).png,Maths_IIT,14.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
129,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (28).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (28).png,Maths_IIT,14.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
130,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (29).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (29).png,Maths_IIT,14.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
131,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (30).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (30).png,Maths_IIT,14.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
132,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (31).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (31).png,Maths_IIT,14.1,3,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
133,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (32).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (32).png,Maths_IIT,14.1,2,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
134,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (33).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (33).png,Maths_IIT,14.1,2,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
135,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (34).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (34).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
136,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (35).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (35).png,Maths_IIT,14.1,1,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
137,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (36).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (36).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
138,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (37).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (37).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
139,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (38).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (38).png,Maths_IIT,14.1,2,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
140,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (39).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (39).png,Maths_IIT,14.1,2,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
141,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (40).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (40).png,Maths_IIT,14.1,4,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
142,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (41).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (41).png,Maths_IIT,14.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
143,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (42).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (42).png,Maths_IIT,14.1,2,E,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
144,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (43).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (43).png,Maths_IIT,14.1,2,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
145,a,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (44).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (44).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
146,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (45).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (45).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
147,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (46).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (46).png,Maths_IIT,14.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
148,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (47).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (47).png,Maths_IIT,14.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
149,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (48).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (48).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
150,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (49).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (49).png,Maths_IIT,14.1,2,W,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
151,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (50).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (50).png,Maths_IIT,14.1,2,D,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
152,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (51).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (51).png,Maths_IIT,14.1,2,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
153,b,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (52).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (52).png,Maths_IIT,14.1,3,M,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
155,c,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (53).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (53).png,Maths_IIT,14.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
156,d,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 que/2 (54).png,,https://s3.amazonaws.com/trialgeometry2/ WILEY_IIT_Maths chp 14 sol/2 (54).png,Maths_IIT,14.1,,,A,B,C,D,,JEE,Eng,WileyBrand,Parabola,,
